"sex","length","diameter","height","whole_wt","shucked_wt","rings","age"
"F",0.72,0.575,0.17,1.9335,0.913,13,14.5
"F",0.725,0.6,0.2,1.737,0.697,11,12.5
"F",0.73,0.58,0.19,1.7375,0.6785,11,12.5
"F",0.735,0.565,0.205,2.1275,0.949,12,13.5
"F",0.745,0.57,0.215,2.25,1.1565,9,10.5
"F",0.75,0.61,0.235,2.5085,1.232,14,15.5
"F",0.815,0.65,0.25,2.255,0.8905,14,15.5
"F",0.475,0.365,0.115,0.566,0.281,7,8.5
"F",0.495,0.38,0.12,0.573,0.2655,7,8.5
"F",0.505,0.38,0.135,0.6855,0.361,9,10.5
"F",0.545,0.41,0.14,0.7405,0.3565,9,10.5
"F",0.55,0.43,0.14,0.84,0.375,8,9.5
"F",0.56,0.43,0.15,0.8745,0.453,8,9.5
"F",0.56,0.435,0.15,0.8715,0.4755,9,10.5
"F",0.58,0.46,0.175,1.165,0.65,9,10.5
"F",0.58,0.435,0.14,0.953,0.475,9,10.5
"F",0.59,0.465,0.15,1.151,0.613,9,10.5
"F",0.59,0.46,0.145,0.9905,0.453,8,9.5
"F",0.595,0.455,0.16,1.04,0.452,9,10.5
"F",0.605,0.485,0.165,0.9515,0.4535,11,12.5
"F",0.605,0.485,0.16,1.201,0.417,9,10.5
"F",0.605,0.515,0.17,1.289,0.6,9,10.5
"F",0.61,0.485,0.17,1.1005,0.5125,11,12.5
"F",0.62,0.435,0.155,1.012,0.477,8,9.5
"F",0.63,0.5,0.175,1.1105,0.467,10,11.5
"F",0.63,0.49,0.225,1.336,0.6805,10,11.5
"F",0.635,0.505,0.145,1.1345,0.505,10,11.5
"F",0.64,0.515,0.205,1.5335,0.6635,9,10.5
"F",0.645,0.515,0.175,1.546,0.7035,10,11.5
"F",0.645,0.505,0.165,1.318,0.55,11,12.5
"F",0.65,0.545,0.175,1.5245,0.59,10,11.5
"F",0.65,0.5,0.16,1.3825,0.702,9,10.5
"F",0.655,0.54,0.215,1.5555,0.695,11,12.5
"F",0.665,0.515,0.18,1.389,0.5945,10,11.5
"F",0.68,0.5,0.185,1.741,0.7665,12,13.5
"F",0.7,0.55,0.17,1.684,0.7535,11,12.5
"F",0.515,0.375,0.11,0.6065,0.3005,6,7.5
"F",0.565,0.44,0.15,0.863,0.435,9,10.5
"F",0.57,0.45,0.135,0.7805,0.3345,8,9.5
"F",0.575,0.47,0.155,1.116,0.509,10,11.5
"F",0.575,0.465,0.195,0.9965,0.417,8,9.5
"F",0.575,0.435,0.15,1.0305,0.4605,8,9.5
"F",0.58,0.435,0.15,0.834,0.428,8,9.5
"F",0.585,0.445,0.14,0.913,0.4305,10,11.5
"F",0.595,0.435,0.15,0.9,0.4175,8,9.5
"F",0.6,0.46,0.155,0.9735,0.427,8,9.5
"F",0.6,0.475,0.15,1.13,0.575,9,10.5
"F",0.6,0.48,0.18,1.0645,0.4495,10,11.5
"F",0.605,0.455,0.145,0.9775,0.468,9,10.5
"F",0.605,0.48,0.14,0.991,0.4735,8,9.5
"F",0.605,0.47,0.155,0.974,0.393,9,10.5
"F",0.605,0.505,0.18,1.434,0.7285,11,12.5
"F",0.61,0.465,0.16,1.0725,0.4835,10,11.5
"F",0.61,0.485,0.15,1.2405,0.6025,12,13.5
"F",0.61,0.475,0.16,1.1155,0.3835,10,11.5
"F",0.61,0.485,0.18,1.2795,0.5735,7,8.5
"F",0.62,0.515,0.155,1.3255,0.6685,12,13.5
"F",0.62,0.54,0.165,1.139,0.4995,11,12.5
"F",0.62,0.48,0.18,1.2215,0.582,12,13.5
"F",0.62,0.48,0.175,1.0405,0.464,9,10.5
"F",0.625,0.485,0.175,1.362,0.6765,10,11.5
"F",0.63,0.5,0.18,1.1965,0.514,8,9.5
"F",0.635,0.49,0.175,1.2435,0.5805,10,11.5
"F",0.635,0.49,0.17,1.2615,0.5385,9,10.5
"F",0.64,0.505,0.165,1.2235,0.5215,10,11.5
"F",0.645,0.51,0.16,1.2415,0.5815,9,10.5
"F",0.645,0.51,0.19,1.363,0.573,10,11.5
"F",0.645,0.48,0.19,1.371,0.6925,12,13.5
"F",0.65,0.495,0.155,1.337,0.615,9,10.5
"F",0.655,0.51,0.15,1.043,0.4795,9,10.5
"F",0.655,0.505,0.19,1.3485,0.5935,12,13.5
"F",0.655,0.505,0.195,1.4405,0.688,11,12.5
"F",0.66,0.535,0.175,1.5175,0.711,12,13.5
"F",0.665,0.505,0.16,1.2915,0.631,11,12.5
"F",0.67,0.52,0.19,1.32,0.5235,13,14.5
"F",0.67,0.55,0.155,1.566,0.858,10,11.5
"F",0.67,0.54,0.195,1.619,0.74,11,12.5
"F",0.675,0.51,0.195,1.382,0.6045,10,11.5
"F",0.68,0.51,0.2,1.6075,0.714,11,12.5
"F",0.685,0.565,0.175,1.638,0.7775,11,12.5
"F",0.69,0.55,0.2,1.569,0.687,12,13.5
"F",0.7,0.535,0.175,1.773,0.6805,15,16.5
"F",0.705,0.545,0.17,1.58,0.6435,11,12.5
"F",0.71,0.57,0.195,1.9805,0.9925,12,13.5
"F",0.71,0.54,0.205,1.5805,0.802,10,11.5
"F",0.72,0.525,0.18,1.445,0.631,7,8.5
"F",0.725,0.565,0.21,2.1425,1.03,14,15.5
"F",0.73,0.56,0.19,1.9425,0.799,11,12.5
"F",0.74,0.565,0.205,2.119,0.9655,12,13.5
"F",0.75,0.565,0.215,1.938,0.7735,11,12.5
"F",0.375,0.27,0.135,0.597,0.272,7,8.5
"F",0.49,0.355,0.16,0.8795,0.3485,8,9.5
"F",0.535,0.425,0.135,0.771,0.3765,8,9.5
"F",0.545,0.415,0.2,1.358,0.567,10,11.5
"F",0.545,0.385,0.15,1.1185,0.5425,9,10.5
"F",0.55,0.38,0.165,1.205,0.543,10,11.5
"F",0.58,0.43,0.17,1.48,0.6535,10,11.5
"F",0.61,0.475,0.15,1.1135,0.5195,11,12.5
"F",0.615,0.455,0.145,1.1155,0.5045,10,11.5
"F",0.635,0.475,0.15,1.1845,0.533,10,11.5
"F",0.64,0.475,0.14,1.0725,0.4895,8,9.5
"F",0.655,0.52,0.2,1.5475,0.713,9,10.5
"F",0.665,0.515,0.185,1.3405,0.5595,11,12.5
"F",0.675,0.53,0.175,1.4465,0.6775,10,11.5
"F",0.685,0.535,0.175,1.5845,0.7175,9,10.5
"F",0.695,0.55,0.185,1.679,0.805,10,11.5
"F",0.705,0.545,0.18,1.5395,0.6075,13,14.5
"F",0.72,0.55,0.195,2.073,1.0715,9,10.5
"F",0.51,0.4,0.12,0.7005,0.347,10,11.5
"F",0.54,0.425,0.16,0.9455,0.3675,9,10.5
"F",0.565,0.445,0.125,0.8305,0.3135,11,12.5
"F",0.57,0.44,0.12,0.803,0.382,9,10.5
"F",0.575,0.465,0.175,1.099,0.4735,9,10.5
"F",0.575,0.43,0.155,0.7955,0.3485,9,10.5
"F",0.58,0.45,0.195,0.8265,0.4035,9,10.5
"F",0.58,0.5,0.165,0.925,0.37,10,11.5
"F",0.6,0.47,0.135,0.97,0.4655,11,12.5
"F",0.6,0.465,0.16,1.133,0.466,11,12.5
"F",0.605,0.455,0.145,0.862,0.334,9,10.5
"F",0.61,0.46,0.145,1.1185,0.478,10,11.5
"F",0.61,0.46,0.155,0.957,0.4255,8,9.5
"F",0.61,0.47,0.165,1.1785,0.566,11,12.5
"F",0.615,0.495,0.16,1.255,0.5815,12,13.5
"F",0.62,0.495,0.17,1.062,0.372,11,12.5
"F",0.625,0.445,0.16,1.09,0.46,11,12.5
"F",0.625,0.52,0.18,1.354,0.4845,11,12.5
"F",0.625,0.47,0.145,0.984,0.475,11,12.5
"F",0.635,0.485,0.165,1.2695,0.5635,11,12.5
"F",0.635,0.52,0.165,1.3405,0.5065,11,12.5
"F",0.635,0.505,0.155,1.2895,0.594,11,12.5
"F",0.64,0.48,0.145,1.1145,0.508,10,11.5
"F",0.64,0.515,0.165,1.3115,0.4945,10,11.5
"F",0.64,0.485,0.185,1.4195,0.6735,11,12.5
"F",0.645,0.51,0.18,1.6195,0.7815,12,13.5
"F",0.645,0.52,0.21,1.5535,0.616,16,17.5
"F",0.65,0.51,0.155,1.189,0.483,13,14.5
"F",0.65,0.51,0.185,1.375,0.531,10,11.5
"F",0.655,0.515,0.18,1.412,0.6195,11,12.5
"F",0.655,0.525,0.175,1.348,0.5855,10,11.5
"F",0.66,0.535,0.205,1.4415,0.5925,10,11.5
"F",0.665,0.5,0.15,1.2475,0.4625,10,11.5
"F",0.67,0.53,0.205,1.4015,0.643,12,13.5
"F",0.675,0.51,0.185,1.473,0.6295,11,12.5
"F",0.7,0.575,0.205,1.773,0.605,13,14.5
"F",0.705,0.535,0.22,1.866,0.929,10,11.5
"F",0.72,0.575,0.18,1.6705,0.732,12,13.5
"F",0.725,0.57,0.205,1.6195,0.744,11,12.5
"F",0.75,0.55,0.195,1.8325,0.83,11,12.5
"F",0.53,0.43,0.15,0.741,0.325,9,10.5
"F",0.53,0.405,0.13,0.6355,0.2635,9,10.5
"F",0.55,0.47,0.15,0.9205,0.381,10,11.5
"F",0.56,0.41,0.16,0.8215,0.342,9,10.5
"F",0.57,0.435,0.15,0.8295,0.3875,10,11.5
"F",0.6,0.45,0.14,0.837,0.37,10,11.5
"F",0.625,0.515,0.18,1.3485,0.5255,14,15.5
"F",0.4,0.305,0.16,0.368,0.173,7,8.5
"F",0.455,0.355,1.13,0.594,0.332,8,9.5
"F",0.475,0.38,0.14,0.689,0.3165,7,8.5
"F",0.5,0.38,0.14,0.6355,0.277,8,9.5
"F",0.535,0.42,0.13,0.699,0.3125,8,9.5
"F",0.54,0.385,0.14,0.7655,0.3265,10,11.5
"F",0.54,0.42,0.13,0.7505,0.368,9,10.5
"F",0.545,0.43,0.16,0.844,0.3945,9,10.5
"F",0.565,0.44,0.135,0.83,0.393,9,10.5
"F",0.58,0.435,0.15,0.839,0.3485,7,8.5
"F",0.585,0.485,0.15,1.079,0.4145,11,12.5
"F",0.6,0.47,0.19,1.1345,0.492,10,11.5
"F",0.61,0.43,0.14,0.909,0.438,8,9.5
"F",0.62,0.49,0.16,1.056,0.493,9,10.5
"F",0.665,0.525,0.21,1.644,0.818,10,11.5
"F",0.69,0.54,0.195,1.2525,0.73,12,13.5
"F",0.705,0.57,0.185,1.761,0.747,10,11.5
"F",0.71,0.5,0.15,1.3165,0.6835,10,11.5
"F",0.72,0.575,0.215,2.1,0.8565,12,13.5
"F",0.73,0.555,0.18,1.6895,0.6555,10,11.5
"F",0.505,0.39,0.115,0.66,0.3045,8,9.5
"F",0.505,0.385,0.115,0.616,0.243,11,12.5
"F",0.4,0.31,0.115,0.3465,0.1475,10,11.5
"F",0.49,0.385,0.125,0.5395,0.2175,11,12.5
"F",0.675,0.55,0.18,1.6885,0.562,15,16.5
"F",0.375,0.29,0.08,0.282,0.1405,7,8.5
"F",0.48,0.38,0.12,0.608,0.2705,8,9.5
"F",0.435,0.35,0.12,0.4585,0.192,11,12.5
"F",0.29,0.21,0.075,0.275,0.113,6,7.5
"F",0.5,0.4,0.125,0.5765,0.2395,10,11.5
"F",0.52,0.41,0.125,0.6985,0.2945,10,11.5
"F",0.44,0.33,0.115,0.4005,0.143,8,9.5
"F",0.56,0.425,0.125,0.932,0.361,9,10.5
"F",0.59,0.455,0.175,0.966,0.391,10,11.5
"F",0.57,0.465,0.18,0.9995,0.405,16,17.5
"F",0.45,0.36,0.125,0.5065,0.222,10,11.5
"F",0.415,0.325,0.115,0.3455,0.1405,9,10.5
"F",0.745,0.585,0.19,1.966,0.8435,18,19.5
"F",0.4,0.3,0.115,0.3025,0.1335,8,9.5
"F",0.64,0.51,0.2,1.3905,0.61,12,13.5
"F",0.715,0.565,0.24,2.1995,0.7245,17,18.5
"F",0.71,0.565,0.195,1.817,0.785,11,12.5
"F",0.55,0.47,0.15,0.897,0.377,9,10.5
"F",0.61,0.45,0.16,1.136,0.414,9,10.5
"F",0.37,0.275,0.085,0.2405,0.104,5,6.5
"F",0.645,0.5,0.17,1.1845,0.4805,13,14.5
"F",0.57,0.45,0.17,1.098,0.414,20,21.5
"F",0.58,0.45,0.235,1.071,0.3,14,15.5
"F",0.595,0.48,0.2,0.975,0.358,15,16.5
"F",0.595,0.47,0.25,1.283,0.462,14,15.5
"F",0.625,0.42,0.165,1.0595,0.358,21,22.5
"F",0.52,0.4,0.125,0.6865,0.295,9,10.5
"F",0.49,0.37,0.14,0.585,0.243,10,11.5
"F",0.575,0.485,0.165,1.0405,0.419,14,15.5
"F",0.68,0.55,0.2,1.596,0.525,21,22.5
"F",0.65,0.515,0.195,1.4005,0.5195,13,14.5
"F",0.645,0.49,0.215,1.406,0.4265,25,26.5
"F",0.29,0.225,0.075,0.14,0.0515,5,6.5
"F",0.625,0.525,0.215,1.5765,0.5115,16,17.5
"F",0.55,0.465,0.18,1.2125,0.3245,27,28.5
"F",0.595,0.495,0.235,1.366,0.5065,13,14.5
"F",0.43,0.325,0.12,0.445,0.165,8,9.5
"F",0.455,0.35,0.14,0.5725,0.1965,10,11.5
"F",0.515,0.415,0.13,0.764,0.276,13,14.5
"F",0.485,0.375,0.145,0.5885,0.2385,13,14.5
"F",0.535,0.46,0.145,0.7875,0.3395,8,9.5
"F",0.625,0.525,0.195,1.352,0.4505,13,14.5
"F",0.555,0.455,0.18,0.958,0.296,14,15.5
"F",0.55,0.425,0.145,0.797,0.297,9,10.5
"F",0.505,0.39,0.175,0.692,0.267,12,13.5
"F",0.505,0.4,0.165,0.729,0.2675,9,10.5
"F",0.56,0.445,0.18,0.903,0.3575,9,10.5
"F",0.57,0.45,0.165,0.903,0.3305,14,15.5
"F",0.56,0.435,0.185,1.106,0.422,15,16.5
"F",0.46,0.36,0.115,0.4755,0.2105,8,9.5
"F",0.435,0.32,0.12,0.3785,0.152,11,12.5
"F",0.475,0.38,0.135,0.486,0.1735,7,8.5
"F",0.38,0.325,0.11,0.3105,0.12,10,11.5
"F",0.47,0.365,0.12,0.543,0.2295,9,10.5
"F",0.585,0.455,0.165,0.998,0.345,12,13.5
"F",0.57,0.46,0.17,1.1,0.4125,14,15.5
"F",0.645,0.5,0.2,1.4285,0.639,11,12.5
"F",0.59,0.465,0.16,1.1005,0.506,13,14.5
"F",0.58,0.455,0.16,0.9215,0.312,17,18.5
"F",0.62,0.51,0.15,1.456,0.581,13,14.5
"F",0.72,0.575,0.215,2.226,0.8955,13,14.5
"F",0.635,0.51,0.175,1.2125,0.5735,14,15.5
"F",0.61,0.48,0.175,1.0675,0.391,15,16.5
"F",0.545,0.445,0.175,0.8525,0.3465,13,14.5
"F",0.6,0.475,0.18,1.162,0.511,18,19.5
"F",0.52,0.41,0.17,0.8705,0.3735,14,15.5
"F",0.67,0.52,0.15,1.406,0.519,13,14.5
"F",0.62,0.48,0.23,1.0935,0.403,14,15.5
"F",0.6,0.475,0.18,1.1805,0.4345,19,20.5
"F",0.495,0.385,0.13,0.6905,0.3125,10,11.5
"F",0.5,0.395,0.15,0.7145,0.3235,9,10.5
"F",0.385,0.305,0.105,0.3315,0.1365,7,8.5
"F",0.58,0.475,0.155,0.974,0.4305,10,11.5
"F",0.38,0.3,0.09,0.3215,0.1545,9,10.5
"F",0.52,0.415,0.145,0.8045,0.3325,10,11.5
"F",0.535,0.45,0.135,0.8075,0.322,13,14.5
"F",0.48,0.405,0.13,0.6375,0.277,10,11.5
"F",0.52,0.425,0.15,0.813,0.385,10,11.5
"F",0.58,0.455,0.12,0.94,0.399,11,12.5
"F",0.55,0.415,0.135,0.775,0.302,23,24.5
"F",0.65,0.5,0.165,1.1445,0.485,12,13.5
"F",0.465,0.375,0.135,0.6,0.2225,16,17.5
"F",0.435,0.35,0.11,0.384,0.143,13,14.5
"F",0.58,0.475,0.135,0.925,0.391,14,15.5
"F",0.505,0.385,0.135,0.6185,0.251,12,13.5
"F",0.505,0.395,0.145,0.6515,0.2695,15,16.5
"F",0.665,0.535,0.19,1.496,0.5775,17,18.5
"F",0.415,0.305,0.105,0.3605,0.12,10,11.5
"F",0.525,0.425,0.145,0.7995,0.3345,15,16.5
"F",0.515,0.42,0.135,0.6295,0.2815,9,10.5
"F",0.8,0.63,0.195,2.526,0.933,23,24.5
"F",0.565,0.48,0.175,0.957,0.3885,18,19.5
"F",0.59,0.47,0.17,0.9,0.355,11,12.5
"F",0.71,0.565,0.195,1.7265,0.638,17,18.5
"F",0.56,0.43,0.125,0.8025,0.313,13,14.5
"F",0.45,0.36,0.105,0.4715,0.2035,9,10.5
"F",0.515,0.435,0.17,0.631,0.2765,12,13.5
"F",0.72,0.56,0.175,1.7265,0.637,17,18.5
"F",0.61,0.485,0.21,1.3445,0.535,20,21.5
"F",0.645,0.525,0.2,1.449,0.601,13,14.5
"F",0.545,0.44,0.175,0.7745,0.2985,11,12.5
"F",0.66,0.525,0.205,1.3665,0.5005,18,19.5
"F",0.6,0.47,0.2,1.031,0.392,15,16.5
"F",0.63,0.505,0.165,1.065,0.4595,12,13.5
"F",0.72,0.595,0.225,1.969,0.8045,16,17.5
"F",0.405,0.325,0.11,0.3575,0.145,12,13.5
"F",0.5,0.405,0.15,0.5965,0.253,12,13.5
"F",0.43,0.34,0.11,0.382,0.154,8,9.5
"F",0.36,0.265,0.09,0.2165,0.096,10,11.5
"F",0.525,0.39,0.135,0.6005,0.2265,16,17.5
"F",0.44,0.345,0.105,0.4285,0.165,11,12.5
"F",0.45,0.345,0.115,0.496,0.1905,12,13.5
"F",0.485,0.365,0.14,0.6195,0.2595,14,15.5
"F",0.455,0.35,0.125,0.4485,0.1585,16,17.5
"F",0.53,0.43,0.17,0.775,0.35,17,18.5
"F",0.585,0.415,0.155,0.6985,0.3,12,13.5
"F",0.58,0.46,0.185,1.017,0.3515,10,11.5
"F",0.64,0.5,0.15,1.0705,0.371,8,9.5
"F",0.505,0.375,0.115,0.5895,0.2635,10,11.5
"F",0.505,0.38,0.145,0.651,0.2935,12,13.5
"F",0.465,0.35,0.13,0.494,0.1945,18,19.5
"F",0.465,0.36,0.12,0.4765,0.192,10,11.5
"F",0.475,0.365,0.13,0.4805,0.1905,12,13.5
"F",0.41,0.315,0.11,0.321,0.1255,10,11.5
"F",0.53,0.385,0.125,0.6695,0.289,10,11.5
"F",0.635,0.5,0.18,1.312,0.529,18,19.5
"F",0.61,0.485,0.165,1.087,0.4255,11,12.5
"F",0.66,0.515,0.18,1.523,0.54,16,17.5
"F",0.465,0.38,0.135,0.579,0.208,14,15.5
"F",0.515,0.4,0.17,0.796,0.258,16,17.5
"F",0.345,0.255,0.1,0.197,0.071,9,10.5
"F",0.445,0.335,0.14,0.4565,0.1785,11,12.5
"F",0.55,0.435,0.17,0.884,0.2875,14,15.5
"F",0.35,0.265,0.09,0.1855,0.0745,7,8.5
"F",0.37,0.285,0.105,0.27,0.1125,9,10.5
"F",0.42,0.33,0.125,0.463,0.186,10,11.5
"F",0.585,0.47,0.17,1.099,0.3975,20,21.5
"F",0.5,0.385,0.13,0.768,0.2625,13,14.5
"F",0.52,0.405,0.14,0.6915,0.276,11,12.5
"F",0.37,0.275,0.08,0.227,0.093,8,9.5
"F",0.615,0.47,0.175,1.2985,0.5135,14,15.5
"F",0.59,0.455,0.165,1.161,0.38,12,13.5
"F",0.47,0.355,0.18,0.441,0.1525,8,9.5
"F",0.5,0.44,0.155,0.742,0.2025,14,15.5
"F",0.52,0.425,0.145,0.7,0.207,13,14.5
"F",0.54,0.415,0.175,0.8975,0.275,14,15.5
"F",0.49,0.4,0.145,0.6635,0.21,13,14.5
"F",0.63,0.51,0.185,1.235,0.5115,11,12.5
"F",0.515,0.395,0.165,0.7565,0.1905,10,11.5
"F",0.475,0.38,0.145,0.57,0.167,11,12.5
"F",0.52,0.4,0.13,0.6245,0.215,15,16.5
"F",0.48,0.39,0.125,0.6905,0.219,12,13.5
"F",0.33,0.26,0.08,0.2,0.0625,9,10.5
"F",0.465,0.35,0.135,0.6265,0.259,8,9.5
"F",0.47,0.375,0.12,0.6015,0.2765,8,9.5
"F",0.565,0.44,0.15,0.983,0.4475,9,10.5
"F",0.6,0.475,0.135,1.4405,0.5885,9,10.5
"F",0.6,0.5,0.155,1.332,0.6235,8,9.5
"F",0.6,0.485,0.165,1.1405,0.587,9,10.5
"F",0.625,0.49,0.155,1.33,0.6675,10,11.5
"F",0.64,0.5,0.18,1.4995,0.593,11,12.5
"F",0.655,0.545,0.165,1.6225,0.6555,12,13.5
"F",0.675,0.555,0.205,1.925,0.713,13,14.5
"F",0.675,0.55,0.175,1.689,0.694,13,14.5
"F",0.69,0.55,0.18,1.659,0.8715,9,10.5
"F",0.695,0.53,0.2,2.0475,0.75,14,15.5
"F",0.7,0.525,0.19,1.6015,0.707,10,11.5
"F",0.73,0.57,0.165,2.0165,1.0685,10,11.5
"F",0.455,0.35,0.12,0.4555,0.1945,7,8.5
"F",0.46,0.35,0.115,0.46,0.2025,6,7.5
"F",0.53,0.42,0.17,0.828,0.41,6,7.5
"F",0.53,0.405,0.15,0.889,0.4055,8,9.5
"F",0.55,0.425,0.125,0.964,0.5475,8,9.5
"F",0.555,0.425,0.14,0.963,0.44,7,8.5
"F",0.57,0.445,0.15,0.995,0.504,9,10.5
"F",0.57,0.435,0.14,0.8585,0.3905,8,9.5
"F",0.58,0.445,0.145,0.888,0.41,8,9.5
"F",0.585,0.45,0.16,0.9045,0.405,8,9.5
"F",0.595,0.47,0.155,1.1775,0.542,9,10.5
"F",0.595,0.465,0.15,1.0765,0.491,9,10.5
"F",0.595,0.465,0.15,1.0255,0.412,11,12.5
"F",0.6,0.46,0.145,0.9325,0.3985,8,9.5
"F",0.6,0.46,0.15,1.235,0.6025,8,9.5
"F",0.615,0.485,0.16,1.1575,0.5005,10,11.5
"F",0.615,0.5,0.165,1.327,0.6,10,11.5
"F",0.62,0.51,0.175,1.2705,0.5415,9,10.5
"F",0.62,0.485,0.175,1.2155,0.545,10,11.5
"F",0.62,0.475,0.16,1.3245,0.6865,9,10.5
"F",0.625,0.49,0.165,1.127,0.477,9,10.5
"F",0.625,0.49,0.175,1.1075,0.4485,8,9.5
"F",0.63,0.495,0.2,1.4255,0.659,11,12.5
"F",0.63,0.495,0.145,1.147,0.5455,9,10.5
"F",0.635,0.495,0.18,1.596,0.617,11,12.5
"F",0.635,0.495,0.195,1.297,0.556,11,12.5
"F",0.65,0.5,0.185,1.4415,0.741,9,10.5
"F",0.69,0.545,0.205,1.933,0.7855,13,14.5
"F",0.695,0.55,0.155,1.8495,0.767,10,11.5
"F",0.7,0.575,0.205,1.7975,0.7295,13,14.5
"F",0.705,0.56,0.205,2.381,0.9915,10,11.5
"F",0.545,0.43,0.14,0.832,0.4355,9,10.5
"F",0.545,0.4,0.14,0.778,0.368,9,10.5
"F",0.55,0.44,0.135,0.8435,0.434,8,9.5
"F",0.57,0.45,0.18,0.908,0.4015,9,10.5
"F",0.57,0.43,0.16,0.811,0.3875,9,10.5
"F",0.575,0.48,0.15,0.897,0.4235,8,9.5
"F",0.585,0.45,0.15,0.938,0.467,7,8.5
"F",0.585,0.435,0.14,0.6955,0.3085,8,9.5
"F",0.59,0.46,0.16,1.0115,0.445,8,9.5
"F",0.595,0.465,0.15,1.1005,0.5415,8,9.5
"F",0.605,0.48,0.15,1.079,0.4505,10,11.5
"F",0.615,0.475,0.17,1.055,0.543,9,10.5
"F",0.615,0.47,0.155,1.084,0.5885,9,10.5
"F",0.625,0.49,0.155,1.115,0.484,9,10.5
"F",0.645,0.52,0.18,1.285,0.5775,9,10.5
"F",0.65,0.535,0.175,1.2895,0.6095,10,11.5
"F",0.65,0.49,0.155,1.122,0.545,9,10.5
"F",0.665,0.505,0.165,1.349,0.5985,9,10.5
"F",0.675,0.55,0.19,1.551,0.7105,13,14.5
"F",0.725,0.53,0.19,1.7315,0.83,11,12.5
"F",0.74,0.575,0.22,2.012,0.8915,12,13.5
"F",0.515,0.395,0.135,0.516,0.2015,9,10.5
"F",0.525,0.415,0.15,0.7055,0.329,10,11.5
"F",0.545,0.44,0.15,0.9475,0.366,8,9.5
"F",0.555,0.445,0.175,1.1465,0.551,8,9.5
"F",0.57,0.445,0.155,1.017,0.5265,10,11.5
"F",0.575,0.435,0.155,0.8975,0.4115,9,10.5
"F",0.58,0.465,0.145,0.9865,0.47,11,12.5
"F",0.58,0.425,0.15,0.844,0.3645,9,10.5
"F",0.585,0.455,0.13,0.8755,0.411,8,9.5
"F",0.61,0.45,0.13,0.8725,0.389,11,12.5
"F",0.615,0.46,0.15,1.0265,0.4935,10,11.5
"F",0.62,0.465,0.14,1.1605,0.6005,9,10.5
"F",0.62,0.48,0.165,1.0125,0.5325,10,11.5
"F",0.63,0.475,0.155,1.0005,0.452,10,11.5
"F",0.64,0.495,0.17,1.2265,0.49,11,12.5
"F",0.66,0.505,0.19,1.4045,0.6255,9,10.5
"F",0.66,0.525,0.2,1.463,0.6525,11,12.5
"F",0.675,0.525,0.17,1.711,0.8365,9,10.5
"F",0.705,0.54,0.205,1.757,0.8265,9,10.5
"F",0.525,0.43,0.135,0.8435,0.4325,9,10.5
"F",0.54,0.42,0.14,0.8035,0.38,9,10.5
"F",0.54,0.415,0.15,0.8115,0.3875,9,10.5
"F",0.57,0.425,0.13,0.782,0.3695,8,9.5
"F",0.58,0.445,0.135,0.95,0.484,8,9.5
"F",0.59,0.455,0.15,0.976,0.465,10,11.5
"F",0.62,0.48,0.17,1.1045,0.535,10,11.5
"F",0.625,0.485,0.16,1.254,0.591,9,10.5
"F",0.635,0.51,0.185,1.286,0.526,12,13.5
"F",0.645,0.49,0.16,1.1665,0.4935,9,10.5
"F",0.645,0.49,0.16,1.144,0.5015,8,9.5
"F",0.65,0.525,0.19,1.385,0.8875,11,12.5
"F",0.655,0.515,0.155,1.309,0.524,11,12.5
"F",0.655,0.515,0.17,1.527,0.8485,11,12.5
"F",0.72,0.565,0.18,1.719,0.8465,11,12.5
"F",0.72,0.55,0.18,1.52,0.637,10,11.5
"F",0.72,0.565,0.17,1.613,0.723,12,13.5
"F",0.465,0.35,0.11,0.4085,0.165,8,9.5
"F",0.535,0.445,0.125,0.8725,0.417,8,9.5
"F",0.55,0.435,0.14,0.745,0.347,9,10.5
"F",0.575,0.425,0.15,0.8765,0.455,8,9.5
"F",0.58,0.45,0.17,0.9705,0.4615,9,10.5
"F",0.58,0.45,0.15,0.92,0.393,9,10.5
"F",0.58,0.44,0.125,0.7855,0.363,11,12.5
"F",0.6,0.48,0.17,1.056,0.4575,10,11.5
"F",0.6,0.45,0.15,0.9625,0.4375,9,10.5
"F",0.605,0.495,0.17,1.0915,0.4365,13,14.5
"F",0.61,0.47,0.195,1.2735,0.469,12,13.5
"F",0.615,0.475,0.175,1.194,0.559,11,12.5
"F",0.615,0.515,0.135,1.1215,0.545,9,10.5
"F",0.615,0.495,0.165,1.198,0.5415,10,11.5
"F",0.62,0.475,0.15,0.9545,0.455,9,10.5
"F",0.625,0.5,0.16,1.217,0.5725,11,12.5
"F",0.625,0.49,0.145,0.92,0.437,10,11.5
"F",0.63,0.48,0.165,1.2615,0.5505,10,11.5
"F",0.63,0.485,0.185,1.167,0.548,10,11.5
"F",0.635,0.485,0.19,1.3765,0.634,11,12.5
"F",0.635,0.5,0.19,1.29,0.593,8,9.5
"F",0.645,0.485,0.15,1.151,0.5935,12,13.5
"F",0.645,0.52,0.17,1.197,0.526,11,12.5
"F",0.65,0.565,0.2,1.6645,0.753,12,13.5
"F",0.655,0.5,0.205,1.528,0.6215,11,12.5
"F",0.655,0.515,0.2,1.494,0.7255,12,13.5
"F",0.66,0.525,0.16,1.277,0.4975,13,14.5
"F",0.66,0.525,0.18,1.5965,0.7765,10,11.5
"F",0.665,0.51,0.175,1.3805,0.675,10,11.5
